"","name","platform","year_of_release","genre","global_sales","critic_score","critic_count","user_score","user_count","rating"
"6354","Shadows of the Damned","Playstation",2011,"Action",270000,77,56,81,124,"17+"
"6373","Reign of Fire","Playstation",2002,"Shooter",270000,56,16,70,4,"17+"
"6382","The BIGS","Xbox",2007,"Sports",270000,79,23,84,21,"Everyone"
"6384","Jurassic Park: Operation Genesis","Playstation",2003,"Simulation",270000,75,13,89,21,"13+"
"6388","Knockout Kings 2002","Xbox",2002,"Sports",270000,78,20,79,7,"13+"
"6394","InuYasha: Feudal Combat","Playstation",2005,"Fighting",270000,52,14,83,21,"13+"
"6396","R.U.S.E.","Xbox",2010,"Strategy",270000,78,45,70,38,"13+"
"6397","Duel Masters","Playstation",2004,"Strategy",270000,66,20,83,6,"Everyone"
"6401","MotionSports: Adrenaline","Xbox",2011,"Sports",270000,41,8,74,7,"Everyone"
"6408","NBA 07","Playstation",2006,"Sports",270000,63,24,63,10,"Everyone"
"6409","Call of Juarez: The Cartel","Xbox",2011,"Shooter",270000,47,62,57,109,"17+"
"6414","Section 8","Xbox",2009,"Shooter",270000,69,49,73,59,"13+"
"6417","ESPN NBA Basketball","Xbox",2003,"Sports",270000,87,18,82,25,"Everyone"
"6420","Lowrider","Playstation",2002,"Misc",260000,46,14,84,11,"13+"
"6421","Family Guy: Back to the Multiverse","Playstation",2012,"Action",260000,40,9,64,31,"17+"
"6422","All-Pro Football 2K8","Xbox",2007,"Sports",260000,75,22,68,52,"10+"
"6425","Plants vs. Zombies","Xbox",2010,"Strategy",260000,89,27,82,160,"10+"
"6429","Batman: Return to Arkham","Playstation",2016,"Action",260000,73,28,85,79,"13+"
"6432","The Incredible Hulk","Xbox",2008,"Action",260000,55,42,64,24,"13+"
"6433","Panzer Dragoon Orta","Xbox",2002,"Shooter",260000,90,41,85,64,"13+"
"6443","Superman Returns","Xbox",2006,"Action",260000,51,48,62,49,"13+"
"6450","Tearaway Unfolded","Playstation",2015,"Platform",260000,81,70,81,188,"Everyone"
"6451","MLB SlugFest 2006","Playstation",2006,"Sports",260000,56,11,75,10,"10+"
"6455","The Incredible Hulk","Playstation",2008,"Action",260000,55,26,68,20,"13+"
"6456","Deadly Premonition","Xbox",2010,"Action",260000,68,39,82,332,"17+"
"6462","Ford Racing 3","Playstation",2004,"Racing",260000,50,7,66,8,"Everyone"
"6464","The Adventures of Tintin: The Game","Playstation",2011,"Action",260000,59,27,57,13,"10+"
"6481","Dynasty Warriors 7: Xtreme Legends","Playstation",2011,"Action",260000,64,11,78,9,"13+"
"6485","Angry Birds Trilogy","Xbox",2012,"Action",260000,63,13,35,27,"Everyone"
"6489","WWE 2K17","Xbox",2016,"Sports",260000,68,12,55,27,"13+"
"6491","Battlestations: Midway","Xbox",2007,"Strategy",260000,73,55,71,40,"13+"
"6493","Riding Spirits","Playstation",2002,"Racing",260000,59,14,90,17,"Everyone"
"6494","Project CARS","Xbox",2015,"Racing",260000,81,16,58,135,"Everyone"
"6507","Armored Core: Nexus","Playstation",2004,"Simulation",260000,73,19,87,7,"13+"
"6509","Evolution Skateboarding","Playstation",2002,"Sports",260000,44,14,67,9,"13+"
"6514","Outlaw Volleyball","Xbox",2003,"Sports",260000,77,33,84,7,"17+"
"6523","Spider-Man: Web of Shadows","Playstation",2008,"Action",260000,67,44,79,34,"13+"
"6534","Oddworld: Stranger's Wrath","Xbox",2005,"Adventure",260000,88,65,91,58,"13+"
"6535","King of Fighters: Maximum Impact","Playstation",2004,"Fighting",260000,64,45,69,12,"13+"
"6537","Atelier Ayesha: The Alchemist of Dusk","Playstation",2012,"Role-Playing",260000,70,17,66,120,"13+"
"6539","Battleborn","Playstation",2016,"Shooter",260000,68,55,68,402,"13+"
"6543","Drakan: The Ancients' Gates","Playstation",2002,"Adventure",260000,78,31,90,39,"17+"
"6546","Resident Evil: Revelations","Xbox",2013,"Action",260000,75,30,74,170,"17+"
"6547","Tony Hawk: Shred","Xbox",2010,"Sports",260000,53,10,66,10,"Everyone"
"6549","Tokyo Jungle","Playstation",2012,"Action",260000,74,60,84,89,"13+"
